Year,Rating,Box.Office
2000,G,46.13333333
2000,PG,85.74285714
2000,PG-13,61.24285714
2000,R,23.07253404
2001,G,51.82
2001,PG,66.84117647
2001,PG-13,54.15153485
2001,R,24.4844954
2002,G,48.45
2002,PG,67.625
2002,PG-13,56.59664861
2002,R,23.52895921
2003,G,34.31666667
2003,PG,49.37538519
2003,PG-13,57.77350423
2003,R,33.98456154
2004,G,24.85
2004,PG,54.30492703
2004,PG-13,51.19265132
2004,R,24.96030959
2005,G,50.6
2005,PG,49.02734595
2005,PG-13,47.63011538
2005,R,19.35381685
2006,G,58.00809
2006,PG,44.83265306
2006,PG-13,49.08365795
2006,R,22.08949318
2007,G,54.24285714
2007,PG,58.80187941
2007,PG-13,51.32581375
2007,R,18.75331456
2008,G,70.38
2008,PG,40.82206286
2008,PG-13,53.61043814
2008,R,23.47225977
2009,G,43.06666667
2009,PG,72.80747297
2009,PG-13,61.81176628
2009,R,27.10873596
2010,G,111.601275
2010,PG,60.77127234
2010,PG-13,55.21176364
2010,R,18.96454237
2011,G,71.22
2011,PG,43.1590973
2011,PG-13,50.36235514
2011,R,17.84893534
2012,G,0.371204
2012,PG,60.67287059
2012,PG-13,54.38245729
2012,R,22.01051909
2013,G,268.5
2013,PG,66.33125714
2013,PG-13,57.18550112
2013,R,20.48218277
2014,G,39.783
2014,PG,56.80742353
2014,PG-13,56.85165
2014,R,21.57942065
2015,G,16.3
2015,PG,69.23333333
2015,PG-13,80.975245
2015,R,25.98436111
